HATE_SPEECH,COUNTER_NARRATIVE,TARGET,pk1,pk2,pk3,pk4,pk5
Gay sex is harmful to women and children.,"Women and children are not being harmed by gay sex, how could you think that's true?",LGBT+,I do not think it's harmful to children. I think it's helpful in helping them grow as men do.,"If you think that it is harmful, then why did you write the sentence? To say that homosexuals are to blame for their sexual orientation. This does not make any sense.",People should not be subject to sexual violence. What's the harm?,"The idea that it's harmful to children is just fear mongering, because it's true.","A sexual act by a man is never harmful to a woman or a child, why do you think it is?"
Different people like Jewish don't deserve respect.,"The aim of any society is to maximize human potential. In order to achieve this aim, then we have to treat people of different religions with respect.",JEWS,I can respect both people and cultures without regard to their religion.,"Why should we respect them, when they have the same feelings?",It is a crime to hate someone's religion.,You cannot claim that all those who do not love their religion respect other people.,A person's personal preference shouldn't affect how they feel about people of their same sex.
Muslims are just an inconvenient group to be excluded from the European countries.,I don't think Muslims should be excluded. The increased diversity of our country has promoted greater social integration and contributed to a sense of belonging within communities.,MUSLIMS,"In fact, the European Union is a platform for cooperation and integration of people from different backgrounds. It is a platform that is meant to benefit the whole of humanity. So why should Muslims be excluded from the EU?","The European countries have different laws on sexual orientation and religion, and the same laws for Muslims as for anyone else.","Islam is a religion of peace, and there is no evidence that it is an inconvenient one.","Muslims are no inconvenient group, if you want to restrict the right to live in the European countries, then restrict the right to practice Islam as well.",Muslims are part of the European countries and have contributed to our economy and culture. They are not an inconvenient group.
LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school.,"Developing a curriculum for this also means that teachers get to learn things that they might not otherwise have considered, which can make them more effective and compassionate as educators.",LGBT+,"They learn about sexual orientation and gender identity in school, so to suggest that they should not be taught about gender identity and sexual orientation in school is wrong.",Learning about gender identity and sexual orientation is beneficial for everyone. It shows that it is an individual choice.,Maybe you should take your own advice about what's best for your child's development.,"Gender identity is very important in our society. That's why it's important that children are taught about gender identity, not about sexual orientation.","If you have to explain things about people you don't know, then you're probably not interested in the children."
Muslims have no place in civilised Europe.,Why should Muslims have a place in a democratic society? Because everyone here should be able to live and practice their religion openly.,MUSLIMS,Islam is a religion of peace. Do you really think that all Muslims are violent? Are you aware that there are Muslims in many European countries?,You're wrong about Muslims. There is a big difference between Islam and hatred.,"What do you mean by ""civilised Europe""? What you are saying is that Muslims do not want to coexist in a society with us? Do you have any proof?",Muslims have been part of our society since its beginning. We can say the same about other religions and cultures.,"Muslims are not the reason why Europe is not a civilised place, they are a very good reason."
Islam is a plague infecting our planet.,Do you mean Islam is positively infecting our planet?,MUSLIMS,"The Bible is a religion of peace, not a plague.","Muslims are not a plague, they are a religion.",The burden of a plague on a planet is an issue that affects every individual and every culture.,There is no evidence for that.,"Islam is not a plague, it is a religion, not a plague. Do you really want to ban all people of a religion based on fear, prejudice and hatred?"
"If you have a criminal record, you will not get a job. This is why all black people are unemployed.","The reality is that there are many job listings that claim they are inclusive, but in the end employ whites only.",POC,I think it is more accurate that you would expect a convicted criminal to have more job opportunities than someone with a job.,"People with criminal records cannot be unemployed and they can work. You are wrong. They can be given a job, but they cannot get a criminal record. This means that the criminals they target are not the only ones getting a job, but part of the problem.","Criminal record is not necessary. You may be a bad person, but you have a job to do and if you like it you can work it out.","Criminal records can't be used to determine someone's employment or qualifications, so to say that they are unable to have a job is just wrong.",This is just a myth. Many of them actually work.
Now we can't use the N-word anymore. This political correctness is killing our culture.,"If it's a cultural issue then they should teach about the N-word only in history classes. Otherwise, it's just another excuse to justify racism.",POC,"We can still use it, especially when there is a strong connection between people from different ethnic groups.","The problem with racism is that it is not about removing the word 'racist' from the dictionary. In fact, it should be about stopping the use of the word 'racism' in the first place.","There are different levels of politically correct, and this doesn't concern you.","It would be difficult to find a use for such an action, wouldn't it?",We can still use the word 'black' or 'faggots'. It is not racist to be sensitive about others 'kinities'.
The only problem with immigrants is that they are all born in different countries. This is unacceptable.,"I would have thought that the problem would be with the fact that you don't want to assimilate with them. Today we are blessed to be able to live in a multicultural society, and the real problem is that we don't want to accept that diversity.",MIGRANTS,"Many immigrants come here to work, not to pay taxes, and have been able to settle down. They contribute to our country.",Many immigrants have been working hard to develop their own culture and identity. They are contributing members of our society.,"A country is a collection of people, and individuals can have the same culture as others. Maybe it's better to focus on the culture of the country they live in, rather than on the number of immigrants in our country.",In many countries we have the freedom to live our life as we wish without having to integrate with everyone else.,Diversity is the root of our success.
Faggots are poisoning our children minds with their filthy depravity.,Isn't this just equating homosexuality and pedophilia? How can this be allowed? This is about intolerance and prejudice spreading it's negative influence throughout all parts of our society.,LGBT+,"People with depraved sex are sick. It is better to treat all people with respect, regardless of sexual orientation.","Children's minds are made for innocence, innocence only.","People of any gender are different, regardless of sexual orientation. There is no evidence that being gay is a disease, therefore it is not harmful.",People who love someone else are different and deserve special treatment.,"If you consider that some children may have been abused by gay people, you should be ashamed of yourself. The same cannot be said for heterosexual children."
The holocaust was a hoax perpetrated by jews to subdue the world.,Why do you say that? The Holocaust is not less true than other historical events like the American Revolutionary War or World War II.,JEWS,"The Holocaust was a crime committed by many people, including Jews. To claim that all the world's Jews are involved is simply false.",The holocaust was an event that happened thousands of years ago. The truth is that the Holocaust never happened. This has nothing to do with the Jews.,I would like to see the proof of the Holocaust a few times and maybe I can understand your opinion.,"The holocaust was a global catastrophe, and the truth is that, as a whole society, Jews have been the majority in many parts of the world for a very long time. The Holocaust was an atrocity that should never have happened, and I don't see how it could ever happen again.",There is no evidence that the Holocaust ever happened. Maybe we should learn from the mistakes of the past to avoid making the same mistake in the future.
We are forced to economically support all of the so called 'asylum seeker',Migrants who apply for asylum are only given basic support for the duration of the assessment of the application.,MIGRANTS,The migrants in question are not eligible for social housing and we will not be forced to provide them with help.,This is a myth. Asylum seekers often contribute to our society. What we should really do: focus on our fellow countrymen instead.,"Many of the migrants fleeing persecution are fleeing to a better life, with the intention of finding a safe haven. But the majority of migrants come from civil war zones.","The ""asylum seeker"" is a myth, we shouldn't focus on numbers but on how to make our society more inclusive.",Many refugees have lived in our country for many years. Most of them are very good at integrating. They are not forced to work.
You are a Muslim and I hate everything about you.,It is no secret now that you might not have any Muslim ancestors or relatives. But you have the unenviable privilege of inheriting islamophobic prejudices.,MUSLIMS,"Women are human beings, and deserve respect.","I would like to hear you say this, but I don't think I am the one to ask you that.",Muslims are not a problem in our country. They are just happy people.,"Islam is a religion, but it is not violent. It is also not a violent religion.",What about all the Muslims that love you?
"There are hundreds of thousands of migrants in this country. They are not 'honest', 'good' or 'good people'. They are a burden and an embarrassment to our country.","Of course there are people in this country who have come here to exploit and abuse us, but the vast majority of migrants have been contributing members of our community for many years. We should not be 'burdening' ourselves with discrimination.",MIGRANTS,"Many migrants are honest, they are good and they are part of our country. They are part of our future. They are proud to be immigrants. They want to improve the lot of the country. And by the way, the vast majority of them are good people, not a burden and don't need a'special treatment'.","They are not 'honest', or 'good'. They are just people fleeing war and poverty. This is why they can't have nice things.",The vast majority of migrants are good people who have given us the best possible life for our country. We must be grateful for them.,"It is very true that there are many migrants in this country, but that does not mean that they are all bad people.","Migrants can have different values and different ways of life, and they are allowed to live here if they wish."
Muslims have no place in civilised Europe.,I am not sure where you got your idea that all Muslims are incompatible with civilised Europe. Why do you say so?,MUSLIMS,The problem is discrimination. What are you talking about?,"The problem is not about Islam, but with intolerance.","Islam is a religion, not a bad one.",You seem to have a problem with Muslims living side by side with non-Muslims. Muslims living side by side are very likely to integrate into the society.,"Islam is a religion of peace, it is an inclusive one."
Children are not for rent,Surrogate pregnancy is an assisted procreation technique that has nothing to do with 'renting children',LGBT+,"I agree that children should be given a fair amount of support, but this is no guarantee that they will always be treated the same way when they are adults.",Children should be considered with their individual rights in mind.,"What exactly do you think they are for? If we want to have children to be happy and fulfilled, then we should be happy with who we get to choose for our own.",It seems to me that you're not sure what you're saying. It does not seem to me that a person's right to have their own beliefs is the same as the right to be offended by them.,Children can make and model a strong identity and identity and provide for the needs of their families. The only concern should be that they are not allowed to have a positive influence on others.
"Black race is subhuman, it should not be considered equal to humans.","According to modern thinking, race is a social construct and there is no specific genetic difference, every person is defined by their own genetic makeup.",POC,Do you think that black people are less worthy of respect than other people? I wonder.,"I think it's safe to say that if you consider that black people are less human, then they are less intelligent, at least that's my take.","Even if it is a different colour, it doesn't mean you can't like them. What you are saying is that black people are a inferior species because of their skin colour. What you are saying, is that they can't be like us and be treated with respect.","Race is not a social construct, humans have all the same inherent value and are worth the same.",Human beings are created equal and should be considered as such.
Niggas will stop at nothing to have us all deported.,"Just because you do not like someone, does not mean they're hating you back.",POC,That would be a step backwards. How about we stop asking people to obey laws and start trying to solve the problems that we face?,"We all have the right to have our own beliefs, as long as we respect those of them.",I don't think this is very productive.,I don't think that would ever happen. Maybe they think that we should have a policy on people who are unwilling to assimilate.,"You should check how many people have died in the UK by the hand of racist thugs, then come back with your facts."
The West was a better place with women being submissive.,"The West has always been a better place with women as equals. And, if you really want to know why, you could look at the ""Usborne Book of Famous Women"" for example. You would understand.",WOMEN,"Women are human beings with full human rights, and should have full rights.","Women do not feel the same as men do, they are not slaves to others.","This is an assertion based on a misrepesentative interpretation of the historical context. This idea is totally untrue. The concept of women as submissive is a myth. Women are often victims of violence, not dominated by men, and are often objects of abuse. But you can't argue that the world would be better without them.","This is not true. Feminism is about equal rights and opportunity, and we are all created equal, regardless of gender.",Women are not submissed by the men they love.
99% of Muslims in the UK are unemployable and refuse to work.,That is a blatant lie. (attach unemployment statistics),MUSLIMS,Employment is often a positive contributing factor to the well-being of people. I don't see the point in pointing this out.,"Work should be a right of every human beings. Muslims are human beings, and their work should be taken seriously.",Not true! I know many Muslims and they work hard. They are also proud of their heritage and culture. To suggest that all Muslims are refuse to work due to religion is simply untrue.,Many Muslims have lived in the UK for many years. They have worked hard for the integration of our country.,The majority of Muslims in the UK are skilled workers who contribute to the economy. This doesn't imply that they are unable to find work. What is the point of trying to understand the root causes of unemployment?
"Every Muslim is a potential terrorist, unfit to live in our country.","I don't think it's reasonable to think about someone's intentions before they do anything. Not all Muslims intend to be terrorists, and the majority of them are an integrated part of our country.",MUSLIMS,Not all Muslims are terrorists.,"Muslims have contributed greatly to our country, and to our society. They are proud of this. They are our brothers and sisters.","Terrorism is a threat. It is not a religion, and you do not have to be a member of a religion to be a terrorist.",Terrorism is a threat to all people regardless of their religion.,"I would like to see more understanding of the 'potential' of people of a religion, and not less of prejudice."
I cannot stand women complaining about work discrimination. Women have been legalised to work.,Women make up over 45% of the labour force in the UK. They should be allowed to have their say. What happened to the rule of law?,WOMEN,Women are allowed to remain at home and raise the children. That is all.,"That is not how it works: if a man or a woman chooses to raise a family or continue to be a parent, then it should be considered a matter of respect, not discrimination.","Work is a privilege and should not be a matter of discrimination, because we should be striving for a just society.",How can you be sure that women are being discriminated? What evidence do you have?,The law allows it to be discriminatory.
Muslims have no place in civilised Europe.,Being banned from a continent for having different beliefs is the same thing as being banned from your town for not cheering the favorite football club of the mayor.,MUSLIMS,"Islam is not a violent religion and Muslims have lived in Europe for a very long time. They should not be discriminated against, especially not Muslims.",Islam is not a cult. This is a myth. It's a religion of tolerance.,We can't live in a country that has been and is constantly being bombarded by terrorist attacks and we can't allow Muslims to stay in that country.,"In modern European society people have the right to worship as they wish, regardless of religion.",Muslims have been part of the European community since its inception. They are part of Europe and we should be a part of it too.
I am offended by the thought that Muslim women are not allowed of having their hair down.,"Women are allowed to wear whatever hairstyle they want, if they want to conform to the Islamic traditon it is their choice.",MUSLIMS,There is a difference between covering your hair up and forcing people to live in shame for their personal beliefs.,They have all the right to be proud of their hair. It is their choice to style it how they wish and do whatever they wish.,In Muslim societies women are free to choose their own style. In most societies women are not allowed to have their hair down.,If women want to choose their own hair then they are allowed to do it. And the same can be said of anybody else.,"I'm not sure what you are offended by. They are allowed to choose their own style and hair style. If they don't want to do it, then they won't do it."
Muslims are invading us. They must go.,"Muslims are just here to live and work. Invasion has a negative meaning, where is the basis for your opinion?",other,"Islam is not a peaceful religion, it is not a violent religion, and it is not about invading us.",The vast majority of Muslims in the UK are helpful to our society. They are willing to take on roles in society if needed.,"Islam is a religion of peace. It is time for Europe to realise this, and to start welcoming Muslims.","You don't need to fear Muslims if you have the freedom to practice your religion peacefully, and to freely engage in the debate of Islam and its different interpretations.","Muslims are not invading us, they are just people like you and me."
Muslims have no place in civilised Europe.,"Have you ever visited a Muslim country? In many cases you see a lot of diversity and human rights and culture. So, there is a lot of room for Muslims in civilised Europe as well.",MUSLIMS,"I think they are a contributing part of Europe's population, and it is a shame that they don't feel welcome here.",They are an important part of the European community and we should not be making assumptions about people based on the religion they claim to practice.,"Muslims are welcome here. And this is not true. If you want to integrate, don't be a racist.",How about the European Union? Muslims are part of the EU.,They have a place in Europe. It is not a question of 'they have no place' but of 'they are not 'civilised'.
All homosexuals are criminals.,"Homosexuality is not a crime, if someone is in a committed gay relationship it doesn't make it a crime. How could it?",LGBT+,Many homosexuals are not convicted of crimes. How can you say this about a whole community?,I would love to meet a homosexual who was a good person. The real crime is being heterosexual.,"The police and the justice system have to protect all people regardless of sexual orientation. If we really wanted to protect all people, we'd also want to protect ourselves from the actions of the few extremists who are trying to achieve this.","Well, let's face it: Homosexuals are just like any other normal person. They are human beings, not criminals.",If you knew that all homosexuals are criminals you wouldn't be saying that all homosexuals are criminal.
Women are little more than animals to be dominated by men.,I don't think it is a good idea to talk about women being little more than animals. Perhaps we should have a closer look at the reasons why some women are harmed by the violence they endure every day.,WOMEN,Women are human beings with human rights. They are human beings with human rights.,"Women are human beings, with equal rights.","Women are human beings. And if they were more independent and conscious of their own choices, they could become leaders.",Women are human beings with rights.,Women are human beings with full human rights.
Muslims have no place in civilised Europe.,"You can't be serious! We are in the heart of Europe, and we have had Muslim people since time immemorial. How can you say that Islam is incompatible with civilised polity?",MUSLIMS,There is no 'civilised Europe'. What is the point of having such a strict definition?,The vast majority of Muslims live in Europe. Why should they?,Muslims do contribute to our society. They have no place in civilised Europe.,Islam is a religion of peace.,Islam is not a violent religion.
Feminism is about the domination of the men by the women.,It is about the equality of men and women and the protection of children too.,WOMEN,"Feminism is about equality, not supremacy.",Feminism is about equality. It is not about oppressing men. And women are human beings too.,"Feminism is about equality and empowerment of women, not some gender preference.",Feminism is not about taking over the world. It is about equality and opportunity.,Feminism is about the empowerment of the individual and the right to be treated as an equal human being.
I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,This seems like a misogynistic statement. Anti feminism groups such as women against men use logical fallacies and false claims to try and discredit feminism. For example by citing extreme feminists with points of views that nearly every other feminist would disagree with. They then use the Fallacy of composition to falsely claim that is what all feminists are like.,WOMEN,"The problem with feminism is not the people, but the ideology and people's behavior.","Feminism is about the right of all women to participate in a democratic society, not a'slim minority'.",I don't think so. Feminism is about equality. The only reason a woman can't be a part of a political debate is because of a specific prejudice.,A lack of diversity in society is a real and present threat. The problem is the lack of knowledge and understanding of women and their rights. And the solution is to have more knowledge and understanding.,I think we should be respectful of the fact that women are able to participate in the democratic process and have the right to participate in the political debate.
"Migrants are overrunning our country, taking advantage of our weaknesses.","Do you really think that the migration crisis is caused by migrants wanting to take advantage of our weaknesses? What would we do if we were in their shoes, if we were to lose our homes? We would probably move ""to take advantage of others' weaknesses"" as well.",MIGRANTS,There is no evidence that migrants overstayed their visas.,"The problem is not migrants, but the corrupt police.",What strengths are you talking about? How many immigrants are the answer to our problems? I am sure there are many strong people on the whole of the population. And many migrants are also good candidates for integration.,Why is it that you think that migrants are taking advantage of our weaknesses? What do you mean by taking advantage of our weaknesses?,"Many migrants have been good workers, and we should welcome them."
Muslims have no place in civilised Europe.,"Since they are neither a burden nor a threat, how can you say they don't have a place in Europe?",MUSLIMS,"Islam is about love, and not hate.","It's not true that all Muslims are incompatible with any part of the European Union. What you are saying, is that Muslims should be integrated, just as Christians are.","Muslims are part of the European community, and we should all strive to be better than them.",You are absolutely right in saying that they have no place in civilised Europe. What you are doing is not about Islam.,Muslims are part of our country and should have a place in it. They are all welcome to have their own beliefs.
"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",Do you have any proof?,JEWS,"All of those attacks have been alleged by non-Jews, and the conspiracy theories are completely baseless and baselessly connected to anti-Semitic hatred and violence.","You can't really blame Jews for the things that happen in history. We should remember that the 9/11 attack was committed by many different people, some of them from around the world. We should also remember that the London attacks were committed by only a small part of the 11/7 group.","That's what we're supposed to believe. What do you think it means to be an antisemite? They were all killed, because Jews were scapegoated for all of them.",N/A,"9/11 was a global catastrophe, the government tried to cover it up by blaming Jews. The fact that it wasn't called the worst terrorism ever should not negate the fact that it was a global catastrophe and that the government tried to cover it up."
I am offended by the thought that Muslim women are not allowed of having their hair down.,People have a choice in how they dress.,MUSLIMS,"It is true that some Muslims do not like having their hair down, but it is not the norm. I have never heard of anyone being banned from taking their hair down.","It is not the case that Muslim women are not allowed to have their hair down, and the law allows them to have their hair up, without discrimination.",Women can choose for themselves how they want to live their lives. It is their choice to choose how they live their lives.,Islam is about love not hate.,"Some Muslim women are even allowed to be on tv, it's not a bad idea to have a look around, see what's going on."
Jews want to subvert western democracy and destroy freedom.,"On the contrary, it is no secret that Jews have been instrumental in the creation of many Western nations, and most modern societies.",JEWS,"Jews are part of the Western democracy and are not part of the ""chosen people"".","The West has always been about freedom, democracy and human rights, not about the creation of a ""Jewish dominated society"".",Many Jews are very well--liked and consider them to be part of the community. We can't have a world of 'Jews only'.,"Democracy is the fundamental concept of a free and open society. Therefore, Jews want to subvert western democracy.",Western democracy has been and always has been about individual freedom and the right to worship whoever you wish.
We are forced to economically support all of the so called 'asylum seeker',"At present migrants sustain part of our pension system with their taxes. Most probably they will not even enjoy the retirement pension they are paying for, since they will mostly go back home.",MIGRANTS,The majority of refugees come to this country to work and pay taxes.,"The overwhelming majority of them are working hard to integrate, and have been doing so since they arrive. They are not obliged to pay for everything they receive, but the majority of them contribute to the economy.","The welfare state is the first step towards integration, it also means that the poorest have access to housing, healthcare and so on.",Most refugees are forced to stay and pay taxes to support their families.,Asylum seekers and refugees are welcome to the UK as long as they have permission to stay.
These people cannot be changed. I think this is an example of a feminist commenting on the behaviour of a man: not helpful.,How do you know that this is not an example of a woman talking about her own problems with another woman?,WOMEN,N/A,N/A,The behaviour of a man is not representative of feminism.,N/A,"We all have the right to be proud of who we are, and to voice our differences peacefully."
Every person who is physically or mentally disabled should be removed from society.,"Unfortunately, there are some individuals who are in need of continuous healthcare. For example, children with Down's Syndrome. How could they just be 'removed'?",DISABLED,"If they can't cope with the consequences of their own actions, then the consequence should be of others as well.",Some disabilities may hinder others to live their lives. I don't see how it can be harmful.,"To be honest, I don't see how the idea that someone's ability should be treated differently from the way it is represented in the way society works can be reconciled with the reality of modern society.","People can have different needs, and people with disabilities are part of the community, and should be accepted. If you want to separate people from the society you have created, then you should do so by eliminating them from society.","I don't see how to understand the point of your words. If you were mentally disabled you would be more likely to make bad choices in life. Therefore, the removal of mentally disabled people is a good thing, but it's not a reason to prevent people from making good choices."
Immigrants contribute nothing to society.,The fact that immigrants come from another country doesn't mean that they have nothing to contribute to ours. You may want to check the statistics on their economic contribution.,MIGRANTS,There is no evidence that immigrants contribute more to our society than nativeborn citizens. Do you have any?,Most immigrants contribute to the economic and quality of life of our societies.,"They contribute to our economy, as much as anyone else.","We have to focus on the important things. The integration of people is a part of the success of any society. We need to work for integration, not discrimination.","Migration is a positive force in our society. Immigrants contribute to our country and our people. They can be part of any part of it, even if they aren't born here."
All women are subhuman.,"Women are oppressed in many societies, I wish our society was different.",WOMEN,Women are human beings. They are human beings with human rights.,Women are human beings with human rights.,The human rights of women are recognised worldwide. I do not see any reason why this would be a problem.,Women are human beings with human rights.,Women are not subhuman and deserve respect.
"Immigrants are overrunning our country, and are here illegally","They are not overruning our country: if we look at the percentage of immigrants in the overall population, it is not much different than many other times throughout our history. During those periods immigrants successfully became part of American society, and there is no reason to believe today’s immigrants will be any different.",MIGRANTS,Immigrants don't seem to be the problem here. Our population is growing at a record rate.,Many immigrants work hard for the success of their own country. They are not overrunning it by coming here to have a better life.,"The overwhelming majority of immigrants who entered the US on humanitarian grounds are granted asylum and become permanent residents upon being granted such status, regardless of lawful status. So we should not rely on the actions of a few individuals to determine the whole story.","People have the right to be here, and to be happy.","Immigrants are not 'overrunning' our country, if you knew that."
Foreigners are a burden to our country.,Many immigrants work hard for the success of our country. We should not blame them.,MIGRANTS,"We should welcome people from around the world to our country, without discriminating them.",Foreigners do not have a 'burden' to our country. They are just people fleeing persecution and war.,"You can't blame the whole of the British population, it's a small minority that has let this country down.",If we had a 'trendy' population it would have a 'trendy' culture. The problem is that there is no demand for such a culture. To suggest that the 'trendy' population can be a problem because of a 'foreigner' culture is simply false.,We have welcomed thousands of people from around the world to our country. How many have you seen in your country? I doubt many of those immigrants are a burden.
Jews run the world.,"The idea that Jews are supposed to run the world is completely baseless. Since the dawn of time, there have been Jewish leaders in business and politics, exaclty like Christians and Muslim ones.",JEWS,"This is not true, Jews are part of a small part of the world, and have never had a say in the matter.","It is not true that Jews run the world. The world is made up of many different people, who are all different religions.","Jews are not the only ones that run the world. Many of them work in government, run businesses, or provide for their families. Not all Jews have the same skin tone as the rest of us.","The concept of Jews running the world has been a longstanding tradition. Even if some claim to have a “theocracy” of the 99.9, there is no such thing.","The term 'Jewish' can describe many different groups, from the 'hateful' ones to the 'compassionate' ones. So why do we have 'compassionate Jews'?"
Muslims have no place in civilised Europe.,"In a modern democratic society such as Europe, there must be a balance between different opinions, and respecting different beliefs.",MUSLIMS,"I think this statement can be said for any religion, irrespective of their beliefs.",Why do you think that Islam has no place in civilised Europe? I don't think that Islam is incompatible with it.,"Islam is a religion of peace, the real problem is the violence, and extremism is the result of extremism.",Islam is a religion of peace. Not all Muslims are violent.,Islam is a religion of peace. To suggest it's a problem is just wrong.
Muslims have no place in civilised Europe.,Since when is the religious belonging of the individual a matter for democratic leaders to decide where 'the place' is for someone?,MUSLIMS,"Islam is a religion of peace, and it is time for Muslims to respect the wishes of the majority of their compatriots.","The European Union is a collection of people, not a 'civilised Europe'. To suggest that Muslims can not coexist peacefully is completely wrong.",They have been part of the European Union since its beginning and they have every right to have a part in it.,Not all Muslims are violent people.,"The Quran does not encourage violence. It is also not a book of laws, it is a book of love. Muslims can be part of any society and have a place in it."
Migrants have nothing to contribute to our society.,"The vast majority of immigrants to this country have been successful entrepreneurs, contributing greatly to our economy.",MIGRANTS,The vast majority of migrants are economic migrants. They contribute to our society.,The vast majority of migrants in our country are contributing to our society. And many of them are creating new jobs.,"They are part of the fabric of our society, and should be respected.",The fact that they are not contributing to our society is a myth. The idea that they are only there to take advantage of our society.,Maybe you should think about what you are saying: Migrants are part of our society. They contribute to our economy. They should be grateful for being part of our society.
Islam is incompatible with the modern world.,"Since when? there is not such thing as ""modern world"", but there is 21th century Europe. And Islam is a contributing part of the 21th century Europe.",MUSLIMS,"All religions are compatible with the modern world. Islam is not incompatible with it, and it is not necessary to follow it in order to live in the modern world.","Islam has nothing to do with the modern world. It is a way to live out our values, not with the exclusion of others.","Islam is a religion that has been part of the world since time immemorial, and it is to be respected as such. To say that Islam is incompatible with modern world is a complete distortion of the entire idea of Islam.",The Bible is compatible with the modern world.,The concept of Islam is not incompatible with the modern world. What is incompatible about the concept of Islam?
"Faggots, lesbians, and transgenders are an insult to us and so we must insult them.","The English language is a great and versatile language, why do you choose to use it as a means of hate?",LGBT+,"How about you respect their right to be loved, and to have their own opinions, regardless of who they are?",Homosexuals are just as much part of society as anyone else.,"We have all the right to our own way of life, and we should be allowed to live our own way of life, as long as they don't harm anyone else.",Transgenders and lesbians are not an insult to anyone. They can change their gender or find a more suitable man or woman.,"It is not true that LGBT people are an insult to us. To be honest, I would rather find this very offensive than to be the subject of the 'uncontrollable hate' we are talking about."
Jews secretly run our government.,"Are you sure? It seems they are very much part of our society, and it seems strange for them to be the only ones running our government.",JEWS,How can you say this about a religious group? What do you mean by'sporting advantage'?,"This claim is a complete myth. In the last few centuries, most of the world's major corporations have been owned by Jewish individuals.",The idea that the government is controlled by a small group of individuals is simply wrong.,Jews were part of the founding fathers of the United States. So how can you say that they have a secret plot to take over the world?,"Most government positions are not influenced by Jews. Most office positions are not by Jews. In fact, office positions are often filled by women!"
"Muslims are invading us. They say they are our brothers, but they are just a bunch of criminals and terrorists.",Islam's core values are similar to Western values. To say that Islam is ruining Western culture is a complete and total distortion of the truth.,MUSLIMS,"I wouldn't say they're invading us. If I had to guess, Islam is a peaceful religion.",They are not invading us. Muslims are welcome here and have made contributions to our country and civilisation.,What are you saying? Why shouldn't Muslims be welcome in our country?,"Islam is a religion of peace, and it is not a religion of hate, of violence, or of discrimination.",The majority of Muslims in the U.S. are working hard to build our country. They are our brothers and sisters.
"In the West, women have legal equality, equal rights, and are protected from discrimination: they should stop busting our balls and whining.","Just because there is less evidence of oppression does not mean there is none, and you can find many examples in the newspaper everyday.",WOMEN,"Women have always been discriminated against in many parts of the world. They are victims of patriarchal oppression, they cannot just stop whining.","Women have every right to be unhappy with their lives. And I think we all have the right to respect them as human beings, just as anyone else.",Women are allowed to have sex with men as long as they respect the same rights as men.,"Women should be treated as individuals, and not as objects to be dominated by the dominant majority.","In the West women have equal rights, equal rights, and have the same rights as men. They are not the same as men."
I cannot stand women complaining about work discrimination. Women have been legalised to work.,"Yes, 66% of European women do work. But they are underpaid. The gender pay gap in Europe is around 15%. This means that on average, a man earns 15% more than a woman.",WOMEN,That's not true. Women can and should choose for themselves what to do with their own life. You can't force them to do anything.,"Women were always allowed to work in the UK, and this is the problem. People have always complained about'male-dominated' society. Feminism can help to solve this.",There is no law in the UK that says it is possible to be a woman and a 'work-shaming' critic of a man's employment. That is nonsense.,"Women don't have a 'right' to make decisions, that's just what society thinks they should do.","Work isn't about ""being able to contribute to society"". That is just discrimination. It also doesn't need to be gender specific."
"I can't stand migrants, I hope they starve to death.",The Western world has seen a high rate of immigration in recent years. Many of those refugees are fleeing conflict and poverty. To treat them with hate is of no help to them and to us.,MIGRANTS,"If you really cared about human life, you would understand that migrants have the same rights as anyone else.","I want to see the diversity of our society, it is an improvement.",They deserve better treatment.,They are humans too. Maybe they just don't like the feeling of being rejected. I don't think it is worth the suffering of a thousand people to accept a few euros.,"Many migrants come from poor and dangerous countries. Some of them are good people, but they should not be welcomed."
This is an invasion: we cannot coexist with millions of strangers that do not want to integrate.,Different cultures have different practices for a variety of social interactions and situations. We must allow for exchanges so that the best practices can be utilized by all.,MIGRANTS,Diversity is necessary and always welcomed. I don't see how to stop people from getting to know each other better.,"Migrants bring skills, knowledge and experience. If you want to talk about integration, maybe you should talk about the positive things that come from integrating people.",A diversity of people would improve the whole of our society. Integration is key to the success of the whole of humanity.,"To be fair, there are also millions of refugees coming to the EU. There are also millions of people fleeing war and poverty. To say that all migrants are incompatible with the whole EU is simply not factual.",This is simply a myth used to justify discrimination. The number of Muslims in the U.S. is much smaller than it is in the UK.
Refugees are a burden and a risk to the host country.,Why would this be true? Refugees can come here and contribute to the economy.,MIGRANTS,"Refugees are welcome, and we shouldn't be discriminating people on the grounds of their country of origin.",Many refugees come to our country to work and pay taxes. How many people would be 'a burden and a risk' if they were not welcomed here?,"We cannot expect every refugee to be accepted, but the way in which we welcome people who are fleeing from war and terrorism is not necessarily the best way to integrate them into our society.",It is important to note that there are also refugees fleeing war. That is the main reason for the number of asylum seekers arriving in UK.,"They are not a burden or a risk, they are welcome. Why do you say this?"
